NCT ID,Acronym,Overall Status,Start Date,Conditions,Interventions,Locations,Primary Completion Date,Study First Post Date,Last Update Post Date,Study Type,Phases
NCT00213135,CLARITY,COMPLETED,2005-04,"Multiple Sclerosis, Relapsing-Remitting","Cladribine 5.25 mg/kg, Cladribine 3.5 mg/kg, Placebo",No locations listed,2008-11,2005-09-21,2014-02-07,INTERVENTIONAL,PHASE3
NCT00297258,Unknown,COMPLETED,2005-11,"Sarcoma, Soft Tissue",pazopanib,"Bruxelles - Belgium, Leuven - Belgium, Lyon cedex 03 - France, Marseille - France, Paris Cedex 05 - France, Villejuif - France, Budapest - Hungary, Groningen - Netherlands, Leiden - Netherlands, Rotterdam - Netherlands, Manchester - United Kingdom, Glasgow - United Kingdom, Leeds - United Kingdom, London - United Kingdom, Newcastle upon Tyne - United Kingdom, Sheffield - United Kingdom",2014-02,2006-02-28,2016-02-03,INTERVENTIONAL,PHASE2
NCT00395135,Unknown,COMPLETED,2006-11,Obesity,"Lorcaserin 10 mg BID, Matching Placebo BID",San Diego - United States,2009-02,2006-11-02,2019-10-02,INTERVENTIONAL,PHASE3
NCT00152386,Unknown,COMPLETED,2005-02,Rheumatoid Arthritis,Certolizumab pegol (CDP870),"Huntsville - United States, Paradise Valley - United States, La Jolla - United States, San Diego - United States, Denver - United States, Danbury - United States, Washington - United States, Aventura - United States, Ocala - United States, Orlando - United States, Sarasota - United States, Tampa - United States, Coeur d'Alene - United States, Springfield - United States, Wichita - United States, Wheaton - United States, Saint Louis - United States, Lincoln - United States, Charlotte - United States, Cleveland - United States, Dayton - United States, Duncansville - United States, Charleston - United States, Austin - United States, Dallas - United States, San Antonio - United States, Capital Federal - Argentina, Cordoba - Argentina, Camperdown - Australia, Coffs Harbour - Australia, Cotton Tree - Australia, Malvern - Australia, Shenton Park - Australia, Victoria Park - Australia, Westmead - Australia, Wooloongabba - Australia, Antwerpen - Belgium, Brussels - Belgium, Liege - Belgium, Merksem - Belgium, Sijsele - Belgium, Pleven - Bulgaria, Sofia - Bulgaria, Stara Zagora - Bulgaria, Varna - Bulgaria, Courtice - Canada, Hamilton - Canada, Kitchener - Canada, London - Canada, Mississauga - Canada, Montreal - Canada, Newmarket - Canada, Point Claire - Canada, Sainte Foy - Canada, Toronto - Canada, Winnipeg - Canada, Valdivia - Chile, Santiago - Chile, Santiago de Chile - Chile, Santiago - Chile, Temuco - Chile, Rijeka - Croatia, Brno Bohunice - Czechia, Brno - Czechia, Ostrava Trebovice - Czechia, Plzen - Czechia, Prague 2 - Czechia, Praha 5 - Czechia, Praha - Czechia, Uherske Hradiste - Czechia, Zlin - Czechia, Afula - Israel, Haifa - Israel, Ramat Gan - Israel, Tel Aviv - Israel, Riga - Latvia, Moscow - Russian Federation, St. Petersburg - Russian Federation, Ivano-Frankivsk - Ukraine",2006-10,2005-09-09,2020-12-01,INTERVENTIONAL,PHASE3
NCT00298038,Unknown,COMPLETED,2005-12-19,Hepatic Encephalopathy,"Rifaximin, Placebo",No locations listed,2008-08-15,2006-03-01,2019-09-18,INTERVENTIONAL,PHASE3
NCT00257608,Unknown,COMPLETED,2006-01,Non-Small Cell Lung Cancer,"bevacizumab, placebo, erlotinib HCl","Mobile - United States, Ft Smith - United States, Scottsdale - United States, Tucson - United States, Alhambra - United States, Bakersfield - United States, Campbell - United States, Concord - United States, Encinitas - United States, Fountain Valley - United States, Fresno - United States, Fullerton - United States, Gilroy - United States, Glendale - United States, La Jolla - United States, Loma Linda - United States, Long Beach - United States, Los Angeles - United States, Los Angeles - United States, Modesto - United States, Northridge - United States, Orange - United States, Orange - United States, Oxnard - United States, Pomona - United States, Sacramento - United States, Sacramento - United States, Salinas - United States, San Diego - United States, San Diego - United States, San Francisco - United States, San Jose - United States, Santa Barbara - United States, Santa Barbara - United States, Santa Maria - United States, Santa Monica - United States, Santa Rosa - United States, Torrance - United States, Denver - United States, Fort Collins - United States, Washington - United States, Boca Raton - United States, Daytona Beach - United States, Inverness - United States, Jacksonville - United States, Miami - United States, Orange City - United States, Orange Park - United States, Port Saint Lucie - United States, Albany - United States, Athens - United States, Lawrenceville - United States, Marietta - United States, Arlington Heights - United States, Chicago - United States, Geneva - United States, Lagrange - United States, Oak Lawn - United States, Peoria - United States, River Forest - United States, Rockford - United States, Munster - United States, Terre Haute - United States, Bettendorf - United States, Sioux City - United States, Waterloo - United States, Hopkinsville - United States, Louisville - United States, Louisville - United States, Louisville - United States, Owensboro - United States, Shreveport - United States, Baltimore - United States, Clinton - United States, Columbia - United States, Frederick - United States, Boston - United States, Boston - United States, Burlington - United States, Framingham - United States, Springfield - United States, Grand Rapids - United States, Kalamazoo - United States, Marquette - United States, Pontiac - United States, Royal Oak - United States, Minneapolis - United States, Columbia - United States, Joplin - United States, Saint Louis - United States, St Charles - United States, Washington - United States, Billings - United States, Great Falls - United States, Missoula - United States, Lincoln - United States, Omaha - United States, Las Vegas - United States, Cherry Hill - United States, Englewood - United States, Flemington - United States, Freehold - United States, Livingston - United States, Montclair - United States, Morristown - United States, Mount Holly - United States, Neptune - United States, New Brunswick - United States, Paramus - United States, Summit - United States, Teaneck - United States, Farmington - United States, Buffalo - United States, Cooperstown - United States, Glen Falls - United States, Great Neck - United States, Jamaica - United States, Middletown - United States, New York - United States, New York - United States, Syracuse - United States, Charlotte - United States, Concord - United States, Greensboro - United States, High Point - United States, Huntersville - United States, Kinston - United States, Washington - United States, Akron - United States, Akron - United States, Canton - United States, Canton - United States, Cincinnati - United States, Cleveland - United States, Columbus - United States, Columbus - United States, Dayton - United States, Mansfield - United States, Middletown - United States, Toledo - United States, Youngstown - United States, Portland - United States, Ephrata - United States, Kittanning - United States, Lancaster - United States, Philadelphia - United States, Scranton - United States, Upland - United States, Wynnewood - United States, Charleston - United States, Spartanburg - United States, Chattanooga - United States, Germantown - United States, Jackson - United States, Memphis - United States, Nashville - United States, Nashville - United States, Austin - United States, Corpus Christi - United States, Dallas - United States, Dallas - United States, Fort Worth - United States, Galveston - United States, Lackland AFB - United States, Bennington - United States, Colchester - United States, Rutland - United States, Newport News - United States, Roanoke - United States, Kirkland - United States, Tacoma - United States, Huntington - United States, Morgantown - United States, Glendale - United States, Madison - United States, Milwaukee - United States, Racine - United States, Buenos Aires - Argentina, Buenos Aires - Argentina, Buenos Aires - Argentina, Buenos Aires - Argentina, Cordoba - Argentina, Mendoza - Argentina, Resistencia - Argentina, Rosario - Argentina, Sante Fe - Argentina, Chermside, QLD - Australia, Nambour, QLD - Australia, Nedlands, WA - Australia, Toorak Gardens, SA - Australia, Brussels - Belgium, Liege - Belgium, Rio de Janeiro - Brazil, Sao Paulo - Brazil, Sao Paulo - Brazil, Plovdiv - Bulgaria, Rousse - Bulgaria, Shoumen - Bulgaria, Sofia - Bulgaria, Sofia - Bulgaria, Sofia - Bulgaria, Stara Zagora - Bulgaria, Varna - Bulgaria, Veliko Tarnovo - Bulgaria, Hong Kong - Hong Kong, Hong Kong - Hong Kong, Hong Kong - Hong Kong, Hong Kong - Hong Kong, Jerusalem - Israel, Tel-Aviv - Israel, Tel-Hashomer - Israel, Genova - Italy, Genova - Italy, Napoli - Italy, Parma - Italy, Perugia - Italy, Udine - Italy, Acapulco - Mexico, Distrito Federal - Mexico, Merida - Mexico, Torreon, Coahuila - Mexico, Manila - Philippines, Pasig City - Philippines, Quezon City - Philippines, Cebu City - Philippines, Manila - Philippines, Quezon City - Philippines, Iasi - Romania, Sibiu - Romania, Suceava - Romania, Singapore - Singapore, Sabadell - Spain, Barakaldo - Spain, Barcelona - Spain, Barcelona - Spain, La Laguna - Spain, Valencia - Spain, Valencia - Spain, Taichung - Taiwan, Taipei - Taiwan, Taiwan - Taiwan, Bangkok - Thailand, Bangkok - Thailand, Bangkok - Thailand, Bangkok - Thailand, Chiangmai - Thailand, Bristol - United Kingdom",2014-11,2005-11-23,2016-04-18,INTERVENTIONAL,PHASE3
NCT00391872,PLATO,COMPLETED,2006-10,Acute Coronary Syndrome,"Ticagrelor, Clopidogrel","Birmingham - United States, Huntsville - United States, Mobile - United States, Tucson - United States, Bakersfield - United States, Beverly Hills - United States, Burbank - United States, Healdsburg - United States, Los Angeles - United States, Roseville - United States, Sacramento - United States, San Diego - United States, Torrance - United States, Fort Collins - United States, Danbury - United States, Hartford - United States, Newark - United States, Washington - United States, Atlantis - United States, Daytona Beach - United States, Ft. Lauderdale - United States, Hollywood - United States, Jacksonville - United States, Jupiter - United States, Melbourne - United States, Miami Beach - United States, Ocala - United States, Orlando - United States, Ormond Beach - United States, Pensacola - United States, Sarasota - United States, St Petersburg - United States, Chicago - United States, Park Ridge - United States, Rock Island - United States, Rockford - United States, Indianapolis - United States, Muncie - United States, Valparaiso - United States, Iowa City - United States, West Des Moines - United States, Kansas City - United States, Olathe - United States, Ashland - United States, Louisville - United States, Shreveport - United States, Auburn - United States, Bangor - United States, Baltimore - United States, Bethesda - United States, Salisbury - United States, Boston - United States, Springfield - United States, Ann Arbor - United States, Kalamazoo - United States, Lansing - United States, Laper - United States, Pontiac - United States, Royal Oak - United States, Saginaw - United States, Troy - United States, Ypsilanti - United States, Duluth - United States, Minneapolis - United States, St Paul - United States, Tupelo - United States, Columbia - United States, Joplin - United States, Kansas City - United States, St Louis - United States, Lincoln - United States, Omaha - United States, Papillion - United States, Newark - United States, Oakland - United States, Paterson - United States, Albuquerque - United States, Brooklyn - United States, Buffalo - United States, Johnson City - United States, Kingston - United States, New Hartford - United States, New York - United States, Rochester - United States, Syracuse - United States, Williamsville - United States, Chapel Hill - United States, Charlotte - United States, Greensboro - United States, High Point - United States, Raleigh - United States, Winston-salem - United States, Cleveland - United States, Columbus - United States, Kettering - United States, Zanesville - United States, Oklahoma City - United States, Tulsa - United States, Bend - United States, Camp Hill - United States, Danville - United States, Doylestown - United States, Harrisburg - United States, Lancaster - United States, Langhorne - United States, Philadelphia - United States, Pittsburgh - United States, Sayre - United States, Sellersville - United States, Wormleysburg - United States, York - United States, Providence - United States, Wakefield - United States, Anderson - United States, Charleston - United States, Columbia - United States, Greenville - United States, Rapid City - United States, Jackson - United States, Knoxville - United States, Memphis - United States, Amarillo - United States, Austin - United States, Dallas - United States, Houston - United States, Lubbock - United States, San Antonio - United States, San Marcos - United States, Tyler - United States, Victoria - United States, Burlington - United States, Falls Church - United States, Fredericksburg - United States, Norfolk - United States, Winchester - United States, Everett - United States, Tacoma - United States, Morgantown - United States, Green Bay - United States, Adrogue - Argentina, Capital Federal - Argentina, Ciudad Autonoma de Bs. As. - Argentina, Quilmes - Argentina, Moron - Argentina, Rosario - Argentina, Tucuman - Argentina, Buenos Aires - Argentina, Cordoba - Argentina, Corrientes - Argentina, Salta - Argentina, San Miguel de Tucuman - Argentina, Santa Fe - Argentina, Bruce - Australia, Chermside - Australia, Herston - Australia, Woolloongabba - Australia, Bedford Park - Australia, Dandenong - Australia, Geelong - Australia, Melbourne - Australia, Perth - Australia, Feldkirch - Austria, Freistadt - Austria, Graz - Austria, Innsbruck - Austria, Linz - Austria, Modling - Austria, Villach - Austria, Wien - Austria, Aalst - Belgium, Bouge - Belgium, Brasschaat - Belgium, Brussels (anderlecht) - Belgium, Charleroi - Belgium, Edegem - Belgium, Genk - Belgium, Hasselt - Belgium, HUY - Belgium, Liege - Belgium, Mechelen - Belgium, MOL - Belgium, Wilrijk - Belgium, Maceio - Brazil, Salvador - Brazil, Brasilia - Brazil, Goiania - Brazil, Belo Horizonte - Brazil, Uberlandia - Brazil, Campo Grande - Brazil, Recife - Brazil, Curitiba - Brazil, Maringa - Brazil, Rio de Janeiro - Brazil, Natal - Brazil, Porto Alegre - Brazil, Sao Jose - Brazil, Aracaju - Brazil, S.j.rio Preto - Brazil, Sao Paulo - Brazil, Campinas - Brazil, Burgas - Bulgaria, Dimitrovgrad - Bulgaria, Gabrovo - Bulgaria, Haskovo - Bulgaria, Kazanlak - Bulgaria, Pleven - Bulgaria, Plovdiv - Bulgaria, Ruse - Bulgaria, Russe - Bulgaria, Smolian - Bulgaria, Sofia - Bulgaria, Varna - Bulgaria, Calgary - Canada, Edmonton - Canada, Campbell River - Canada, Kelowna - Canada, New Westminster - Canada, Penticton - Canada, Surrey - Canada, Vancouver - Canada, Victoria - Canada, Winnipeg - Canada, Saint John - Canada, St. John's - Canada, Brockville - Canada, Cambridge - Canada, Cornwall - Canada, London - Canada, Newmarket - Canada, Oshawa - Canada, Ottawa - Canada, Scarborough - Canada, Toronto - Canada, Laval - Canada, Montreal - Canada, Saint-georges - Canada, Sherbrooke - Canada, Thetford Mines - Canada, Regina - Canada, Quebec - Canada, Guangzhou - China, Shenyang - China, Chengdu - China, Beijing - China, Hang Zhou - China, Shanghai, Pudong - China, Brno - Czech Republic, Hradec Kralove - Czech Republic, Jihlava - Czech Republic, Kladno - Czech Republic, Liberec - Czech Republic, Olomouc - Czech Republic, Ostrava-poruba - Czech Republic, Pardubice - Czech Republic, Praha - Czech Republic, Slany - Czech Republic, Teplice - Czech Republic, Usti Nad Labem - Czech Republic, Usti Nad Orlici - Czech Republic, Zlin - Czech Republic, Znojmo - Czech Republic, Esbjerg - Denmark, Fredericia - Denmark, Frederiksberg - Denmark, Frederikssund - Denmark, Glostrup - Denmark, Hellerup - Denmark, Herlev - Denmark, Herning - Denmark, Hillerod - Denmark, Hjorring - Denmark, Holbaek - Denmark, Horsens - Denmark, Hvidovre - Denmark, Kobenhavn - Denmark, Koge - Denmark, Kolding - Denmark, Naestved - Denmark, Odense C - Denmark, Roskilde - Denmark, Silkeborg - Denmark, Slagelse - Denmark, Viborg - Denmark, Hus (helsinki) - Finland, Jyvaskyla - Finland, Kokkola - Finland, Kuopio - Finland, Lahti - Finland, Lappeenranta - Finland, Pori - Finland, Rovaniemi - Finland, Turku - Finland, Abbeville - France, Allauch - France, Arras - France, Avignon - France, Bayonne - France, Besancon - France, Brest - France, Caen - France, Cholet - France, Creteil - France, Croix - France, Dijon - France, Douai - France, Falaise - France, Frejus - France, La Rochelle - France, Lagny Sur Marne - France, Lille - France, Limoges - France, Lomme - France, Marseille - France, Nimes - France, Orleans - France, Paris - France, PAU - France, Pessac - France, Quincy Sous Senart - France, Rennes - France, Rouen - France, Senlis - France, Strasbourg - France, Toulouse - France, Tourcoing - France, Valenciennes - France, Tbilisi - Georgia, Aschaffenburg - Germany, Bad Mergentheim - Germany, Bad Nauheim - Germany, Bad Rothenfelde - Germany, Berlin - Germany, Bochum - Germany, Bonn - Germany, Cloppenburg - Germany, Coburg - Germany, Dortmund - Germany, Dresden - Germany, Duisburg - Germany, Erfurt - Germany, Essen - Germany, Esslingen - Germany, Frankfurt - Germany, Gottingen - Germany, Greifswald - Germany, Halle - Germany, Hamburg - Germany, Hannover - Germany, Heidelberg - Germany, Jena - Germany, Kiel - Germany, Krefeld - Germany, Limburg - Germany, Lubeck - Germany, Mainz - Germany, Merseburg - Germany, Monchengladbach - Germany, Muhlheim An Der Ruhr - Germany, Munster - Germany, Regensburg - Germany, Rostock - Germany, ULM - Germany, Warendorf - Germany, Witten - Germany, Wuppertal - Germany, Wurzburg - Germany, Heraklion - Greece, Athens - Greece, Larissa - Greece, Patra - Greece, Piraeus - Greece, Thessaloniki - Greece, Hong Kong - Hong Kong, Budapest - Hungary, Cegled - Hungary, Debrecen - Hungary, Gyula - Hungary, Hodmez-vasarhely - Hungary, Kaposvar - Hungary, Kecskemet - Hungary, Mosonmagyarovar - Hungary, Pecs - Hungary, Szekesfehervar - Hungary, Zalaegerszeg - Hungary, Hyderabad - India, Vijayawada - India, New Delhi - India, Ahmedabad - India, Gandhinagar - India, Vadodara - India, Bangalore - India, Kochi - India, Thrissur - India, Bhopal - India, Mumbai - India, Nagpur - India, Patiala - India, Bikaner - India, Jaipur - India, Chennai - India, Coimabatore - India, Kolkata - India, Denpasar - Indonesia, Bandung - Indonesia, Surabaya - Indonesia, Jakarta - Indonesia, Makassar - Indonesia, Semarang - Indonesia, Afula - Israel, Ashkelon - Israel, Beer Sheva - Israel, Hadera - Israel, Haifa - Israel, Holon - Israel, Jerusalem - Israel, Poriya M.p. Lower Galilee - Israel, Rehovot - Israel, Tel Aviv - Israel, Zerifin - Israel, Ancona - Italy, Bari - Italy, Bergamo - Italy, Caserta - Italy, Catania - Italy, Ferrara - Italy, Foggia - Italy, San Giovanni Rotondo - Italy, Bagno A Ripoli - Italy, Firenze - Italy, Legnano - Italy, Milano - Italy, Monza - Italy, Rozzano - Italy, Mantova - Italy, Modena - Italy, Pescara - Italy, Parma - Italy, Pavia - Italy, Ostia Lido - Italy, Sassari - Italy, Treviso - Italy, Varese - Italy, Mestre - Italy, Verona - Italy, Massa Carrara - Italy, Napoli - Italy, Novara - Italy, Roma - Italy, Seongnam - Korea, Republic of, Daegu - Korea, Republic of, Gwangju - Korea, Republic of, Seoul - Korea, Republic of, Suwon - Korea, Republic of, Wonju - Korea, Republic of, Kuching - Malaysia, Kuala Lumpur - Malaysia, Penang - Malaysia, Mexico - Mexico, Guadalajara - Mexico, Zapopan - Mexico, Monterrey - Mexico, Durango - Mexico, Puebla - Mexico, Alkmaar - Netherlands, Almelo - Netherlands, Amersfoort - Netherlands, Amsterdam - Netherlands, Apeldoorn - Netherlands, Arnhem - Netherlands, Assen - Netherlands, Blaricum - Netherlands, Breda - Netherlands, Capelle Aan Den Ijssel - Netherlands, Delft - Netherlands, Den Haag - Netherlands, Deventer - Netherlands, Dordrecht - Netherlands, Drachten - Netherlands, EDE - Netherlands, Eindhoven - Netherlands, Goes - Netherlands, Gorinchem - Netherlands, Gouda - Netherlands, Haarlem - Netherlands, Hardenberg - Netherlands, Harderwijk - Netherlands, Heerlen - Netherlands, Helmond - Netherlands, Hilversum - Netherlands, Leeuwarden - Netherlands, Maastricht - Netherlands, Nieuwegein - Netherlands, Nijmegen - Netherlands, Rotterdam - Netherlands, Spijkenisse - Netherlands, Tiel - Netherlands, Tilburg - Netherlands, Veldhoven - Netherlands, Vlaardingen - Netherlands, Arendal - Norway, Bergen - Norway, Bodo - Norway, Drammen - Norway, Flekkefjord - Norway, Gjovik - Norway, Hamar - Norway, Kongsberg - Norway, Kristiansand - Norway, Lillehammer - Norway, Nordbyhagen - Norway, Notodden - Norway, Oslo - Norway, RUD - Norway, Tromso - Norway, Tynset - Norway, Cebu - Philippines, Davao City - Philippines, Manila - Philippines, Pasig City - Philippines, Quezon City - Philippines, Bialystok - Poland, Bielsko-biala - Poland, Bydgoszcz - Poland, Bytom - Poland, Czestochowa - Poland, Elblag - Poland, Gda?sk - Poland, Gdynia - Poland, Grodzisk Mazowiecki - Poland, Inowroclaw - Poland, Katowice - Poland, Krakow - Poland, Lodz - Poland, Lublin - Poland, Olawa - Poland, Olsztyn - Poland, Opole - Poland, Ostrowiec Swietokrzyski - Poland, Plock - Poland, Poznan - Poland, Radom - Poland, Szczecin - Poland, Tarnow - Poland, Torun - Poland, Walbrzych - Poland, Warszawa - Poland, Wejherowo - Poland, Wloclawek - Poland, Wroclaw - Poland, Zamosc - Poland, Amadora - Portugal, Aveiro - Portugal, Braga - Portugal, Coimbra - Portugal, Leiria - Portugal, Lisboa - Portugal, Penafiel - Portugal, Santa Maria Da Feira - Portugal, Santarem - Portugal, Setubal - Portugal, Vila Nova de Gaia - Portugal, Vila Real - Portugal, San Juan - Puerto Rico, Pitesti - Romania, Cluj Napoca - Romania, Braila - Romania, Brasov - Romania, Bucharest - Romania, Buzau - Romania, Craiova - Romania, Iasi - Romania, Suceava - Romania, Khanty-mansiysk - Russian Federation, Barnaul - Russian Federation, Ekaterinburg - Russian Federation, Irkutsk - Russian Federation, Kaliningrad - Russian Federation, Kazan - Russian Federation, Kemerovo - Russian Federation, Krasnodar - Russian Federation, Krasnoyarsk - Russian Federation, Moscow - Russian Federation, Murmansk - Russian Federation, Nizhniy Novgorod - Russian Federation, Novosibirsk - Russian Federation, Rostov-na-donu - Russian Federation, Samara - Russian Federation, St. Petersburg - Russian Federation, Tomsk - Russian Federation, Tyumen - Russian Federation, Vladivostok - Russian Federation, Singapore - Singapore, Bratislava - Slovakia, Kosice - Slovakia, Liptovsky Mikulas - Slovakia, Martin - Slovakia, Nitra - Slovakia, Nove Zamky - Slovakia, Piestany - Slovakia, Ruzomberok - Slovakia, Trnava - Slovakia, Zilina - Slovakia, Somerset West - South Africa, Bloemfontein - South Africa, Cape Town - South Africa, Pretoria - South Africa, Malaga - Spain, Sevilla - Spain, Gijon - Spain, Barcelona - Spain, Lerida - Spain, Terrassa - Spain, Madrid - Spain, Valencia - Spain, Caceres - Spain, Vigo(pontevedra) - Spain, Palma de Mallorca - Spain, Boras - Sweden, Eksjo - Sweden, Eskilstuna - Sweden, Falun - Sweden, Halmstad - Sweden, Jonkoping - Sweden, Kalmar - Sweden, Karlskrona - Sweden, Lidkoping - Sweden, Linkoping - Sweden, Ljungby - Sweden, Lund - Sweden, Ostersund - Sweden, Skovde - Sweden, Stockholm - Sweden, Sundsvall - Sweden, Uppsala - Sweden, Vasteras - Sweden, Mendrisio - Switzerland, Bellinzona - Switzerland, Bern - Switzerland, Geneve - Switzerland, Kreuzlingen - Switzerland, Lugano - Switzerland, Niao-song-shiang - Taiwan, Kweishan Shiang - Taiwan, Taipei - Taiwan, Bangkok - Thailand, Chiang Mai - Thailand, Khon Kaen - Thailand, Istanbul - Turkey, Ankara - Turkey, Adana - Turkey, Antalya - Turkey, Mersin - Turkey, Dnepropetrovsk - Ukraine, Donetsk - Ukraine, Kharkov - Ukraine, Kiev - Ukraine, Makiyivka - Ukraine, Airdrie - United Kingdom, Belfast - United Kingdom, Basingstoke - United Kingdom, Birmingham - United Kingdom, Blackpool - United Kingdom, Dundee - United Kingdom, Edinburgh - United Kingdom, Glasgow - United Kingdom, Leicester - United Kingdom, London - United Kingdom, Manchester - United Kingdom, Middlesborough - United Kingdom, Poole - United Kingdom, Sheffield - United Kingdom, Swansea - United Kingdom",2009-03,2006-10-25,2012-03-13,INTERVENTIONAL,PHASE3
NCT00364923,PROPEL,COMPLETED,2006-08,Peripheral T-cell Lymphoma,Pralatrexate Injection,"Duarte - United States, Los Angeles - United States, New Haven - United States, Atlanta - United States, Chicago - United States, Iowa City - United States, New Orleans - United States, Boston - United States, Saint Louis - United States, Las Vegas - United States, Hackensack - United States, New York - United States, New York - United States, New York - United States, Rochester - United States, Philadelphia - United States, Houston - United States, Seattle - United States, Brussels - Belgium, Yvoir - Belgium, Vancouver - Canada, Toronto - Canada, Creteil - France, Dijon - France, Nice - France, Paris - France, Paris - France, Pierre-Benite - France, Reims - France, Bologna - Italy, London - United Kingdom, Sutton - United Kingdom",2009-01,2006-08-16,2019-12-19,INTERVENTIONAL,PHASE2
NCT00358150,Unknown,COMPLETED,2006-06,"Gaucher Disease, Type 1, Cerebroside Lipidosis Syndrome, Glucocerebrosidase Deficiency Disease, Glucosylceramide Beta-Glucosidase Deficiency Disease, Gaucher Disease, Non-Neuronopathic Form",Eliglustat tartrate,"New York - United States, New York - United States, Buenos Aires - Argentina, Buenos Aires - Argentina, Buenos Aires - Argentina, Buenos Aires - Argentina, Buenos Aires - Argentina, Ciudad Autonoma de Buenos Aires - Argentina, Haifa - Israel, Haifa - Israel, Jerusalem - Israel, Jerusalem - Israel, Milano - Italy, D.f. - Mexico, Mexico City - Mexico, Moscow - Russian Federation, Moscow - Russian Federation",2009-08,2006-07-31,2017-02-15,INTERVENTIONAL,PHASE2
NCT05428969,BEXMAB,RECRUITING,2022-06-02,"Acute Myeloid Leukemia, Chronic Myelomonocytic Leukemia, Myelodysplastic Syndromes, Relapsed/Refractory AML","Bexmarilimab, Azacitidine, Venetoclax","Duarte - United States, New Haven - United States, Chapel Hill - United States, Houston - United States, Helsinki - Finland, Kuopio - Finland, Oulu - Finland, Tampere - Finland, Manchester - United Kingdom, Truro - United Kingdom",2025-04-01,2022-06-23,2025-01-16,INTERVENTIONAL,"PHASE1, PHASE2"
NCT00126724,Unknown,COMPLETED,2005-08,"Arthritis, Rheumatoid, Arthritis, Psoriatic, Ankylosing Spondylitis","tgAAC94 gene therapy vector, tgAAC94 gene therapy vector, tgAAC94 placebo, tgAAC94 gene therapy vector, tgAAC94 gene therapy vector, tgAAC94 gene therapy vector, tgAAC94 gene therapy vector","Glendale - United States, Tuscon - United States, Palm Desert - United States, Upland - United States, Denver - United States, Boca Raton - United States, Ocala - United States, Stuart - United States, Coeur d'Alene - United States, Chicago - United States, Springfield - United States, Frederick - United States, Reno - United States, Johnson City - United States, Oklahoma City - United States, Duncansville - United States, Willow Grove - United States, Austin - United States, Dallas - United States, Dallas - United States, San Antonio - United States, Seattle - United States",2008-10,2005-08-04,2009-07-29,INTERVENTIONAL,"PHASE1, PHASE2"
NCT00530816,Unknown,COMPLETED,2007-09,Multiple Myeloma,carfilzomib,"Scottsdale - United States, Beverly Hills - United States, Laguna Hills - United States, Denver - United States, Tamarac - United States, Tampa - United States, Atlanta - United States, Chicago - United States, Skokie - United States, Lexington - United States, Mount Sterling - United States, Ann Arbor - United States, Rochester - United States, Hattiesburg - United States, Jackson - United States, Saint Louis - United States, Hackensack - United States, New York - United States, Akron - United States, Canton - United States, Cleveland - United States, Dayton - United States, Middletown - United States, Amarillo - United States, Austin - United States, Houston - United States, Calgary - Canada, Edmonton - Canada, Toronto - Canada, Montreal - Canada",2013-01,2007-09-18,2017-05-02,INTERVENTIONAL,PHASE2
